season,week,fecha,local,visitante,pred_local,pred_visita,total_pred,total_vegas,spread_pred,spread_puro,spread_vegas,discrepancia,value,ganador,prob,fecha_prediccion
2026,1,2026-09-09,SEA,NE,24.5,19.9,44.4,44.5,4.6,7.4,3.0,4.4,True,SEA,0.67,2026-09-08 17:50
2026,1,2026-09-10,LA,SF,28.5,23.8,52.2,48.5,4.7,4.0,3.5,0.5,False,LA,0.63,2026-09-08 17:50
2026,1,2026-09-13,CAR,CHI,22.4,23.6,46.0,47.5,-1.2,-0.7,-3.0,2.3,False,CHI,0.62,2026-09-11 23:54
2026,1,2026-09-13,CIN,TB,27.3,25.0,52.4,50.5,2.3,4.2,3.5,0.7,False,CIN,0.63,2026-09-11 23:54
2026,1,2026-09-13,DET,NO,27.7,24.4,52.1,49.5,3.4,-6.1,7.0,-13.1,True,DET,0.57,2026-09-11 23:54
2026,1,2026-09-13,HOU,BUF,22.7,22.2,44.9,44.5,0.5,-0.9,-1.5,0.6,False,BUF,0.58,2026-09-11 23:54
2026,1,2026-09-13,IND,BAL,21.4,27.5,48.9,47.5,-6.2,-8.5,-3.5,-5.0,True,BAL,0.74,2026-09-11 23:54
2026,1,2026-09-13,JAX,CLE,26.1,16.5,42.6,39.5,9.7,13.5,8.5,5.0,True,JAX,0.84,2026-09-11 23:54
2026,1,2026-09-13,PIT,ATL,24.8,18.2,43.0,41.5,6.7,3.4,6.0,-2.6,False,PIT,0.68,2026-09-11 23:54
2026,1,2026-09-13,TEN,NYJ,18.6,19.5,38.1,38.5,-0.9,8.9,1.5,7.4,True,TEN,0.65,2026-09-11 23:54
2026,1,2026-09-13,LAC,ARI,26.3,21.3,47.7,47.5,5.0,1.1,9.5,-8.4,True,LAC,0.73,2026-09-11 23:54
2026,1,2026-09-13,LV,MIA,23.2,21.7,44.9,40.5,1.5,-2.0,3.0,-5.0,True,LV,0.53,2026-09-11 23:54
2026,1,2026-09-13,MIN,GB,24.1,24.5,48.7,46.5,-0.4,8.5,1.5,7.0,True,MIN,0.65,2026-09-11 23:54
2026,1,2026-09-13,PHI,WAS,26.2,21.0,47.2,44.5,5.2,8.1,6.0,2.1,False,PHI,0.74,2026-09-11 23:54
2026,1,2026-09-13,NYG,DAL,21.4,24.8,46.3,48.5,-3.4,2.5,-3.0,5.5,True,DAL,0.57,2026-09-11 23:54
2026,1,2026-09-14,KC,DEN,22.9,19.7,42.6,43.5,3.3,-0.2,2.5,-2.7,False,KC,0.54,2026-09-11 23:54
2026,2,2026-09-17,BUF,DET,28.9,23.7,52.6,53.5,5.2,9.3,4.5,4.8,True,BUF,0.73,2026-09-15 18:03
2026,2,2026-09-20,ATL,CAR,20.1,21.8,41.9,43.5,-1.8,4.4,-2.5,6.9,True,CAR,0.52,2026-09-18 23:55
2026,2,2026-09-20,BAL,NO,30.7,17.8,48.4,46.5,12.9,3.8,8.5,-4.7,True,BAL,0.75,2026-09-18 23:55
2026,2,2026-09-20,CHI,MIN,27.5,22.0,49.5,48.5,5.5,1.2,4.5,-3.3,False,CHI,0.62,2026-09-18 23:55
2026,2,2026-09-20,HOU,CIN,22.6,23.1,45.7,45.5,-0.5,-3.7,2.5,-6.2,True,CIN,0.51,2026-09-18 23:55
2026,2,2026-09-20,NE,PIT,23.3,17.1,40.5,41.5,6.2,4.1,5.5,-1.4,False,NE,0.69,2026-09-18 23:55
2026,2,2026-09-20,NYJ,GB,18.3,22.1,40.4,44.5,-3.7,-1.6,-3.5,1.9,False,GB,0.64,2026-09-18 23:55
2026,2,2026-09-20,TB,CLE,25.8,16.3,42.1,41.5,9.5,6.8,8.5,-1.7,False,TB,0.79,2026-09-18 23:55
2026,2,2026-09-20,TEN,PHI,18.2,22.9,41.1,39.5,-4.7,-3.0,-7.0,4.0,True,PHI,0.74,2026-09-18 23:55
2026,2,2026-09-20,DEN,JAX,23.2,20.4,43.6,45.5,2.7,-6.7,2.5,-9.2,True,JAX,0.56,2026-09-18 23:55
2026,2,2026-09-20,LAC,LV,25.0,18.9,44.0,43.5,6.1,0.7,6.5,-5.8,True,LAC,0.67,2026-09-18 23:55
2026,2,2026-09-20,ARI,SEA,20.0,24.0,44.1,40.5,-4.0,-6.5,-3.5,-3.0,False,SEA,0.71,2026-09-18 23:55
2026,2,2026-09-20,DAL,WAS,30.3,24.9,55.3,50.5,5.4,1.4,4.5,-3.1,False,DAL,0.63,2026-09-18 23:55
2026,2,2026-09-20,SF,MIA,25.3,13.7,39.0,44.5,11.6,4.1,13.5,-9.4,True,SF,0.85,2026-09-18 23:55
2026,2,2026-09-20,KC,IND,27.2,21.0,48.2,46.5,6.2,3.0,6.5,-3.5,False,KC,0.7,2026-09-18 23:55
2026,2,2026-09-21,LA,NYG,30.9,23.4,54.3,48.5,7.4,-0.5,7.0,-7.5,True,LA,0.66,2026-09-18 23:55
