season,week,fecha,juego,equipo,rival,es_local,player_id,jugador,pos,prop,prediccion,lo,hi,prob_1mas,fecha_prediccion
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0038543,Jaxon Smith-Njigba,WR,yardas_recepcion,66.98,25.96,103.47,,2026-08-12 17:39
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0038543,Jaxon Smith-Njigba,WR,recepciones,5.18,,,0.99,2026-08-12 17:39
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0038543,Jaxon Smith-Njigba,WR,td_recepcion,0.39,,,0.32,2026-08-12 17:39
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0034869,Sam Darnold,QB,yardas_pase,173.81,109.51,246.71,,2026-08-12 17:39
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0034869,Sam Darnold,QB,td_pase,1.24,,,0.71,2026-08-12 17:39
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0034869,Sam Darnold,QB,intercepciones,0.58,,,0.44,2026-08-12 17:39
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0034869,Sam Darnold,QB,yardas_tierra,7.3,0.0,17.51,,2026-08-12 17:39
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0034869,Sam Darnold,QB,td_tierra,0.07,,,0.07,2026-08-12 17:39
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0039793,AJ Barner,TE,yardas_recepcion,25.46,2.11,43.83,,2026-08-12 17:39
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0039793,AJ Barner,TE,recepciones,2.12,,,0.88,2026-08-12 17:39
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0039793,AJ Barner,TE,td_recepcion,0.23,,,0.2,2026-08-12 17:39
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0039165,Zach Charbonnet,RB,yardas_tierra,51.12,18.0,83.48,,2026-08-12 17:39
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0039165,Zach Charbonnet,RB,td_tierra,0.44,,,0.36,2026-08-12 17:39
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0039165,Zach Charbonnet,RB,yardas_recepcion,13.36,0.0,27.55,,2026-08-12 17:39
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0039165,Zach Charbonnet,RB,recepciones,1.53,,,0.78,2026-08-12 17:39
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0039165,Zach Charbonnet,RB,td_recepcion,0.09,,,0.08,2026-08-12 17:39
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0037545,Rashid Shaheed,WR,yardas_recepcion,15.92,0.0,31.0,,2026-08-12 17:39
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0037545,Rashid Shaheed,WR,recepciones,1.33,,,0.74,2026-08-12 17:39
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0037545,Rashid Shaheed,WR,td_recepcion,0.11,,,0.1,2026-08-12 17:39
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0040739,Elijah Arroyo,TE,yardas_recepcion,10.39,0.0,26.02,,2026-08-12 17:39
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0040739,Elijah Arroyo,TE,recepciones,0.96,,,0.62,2026-08-12 17:39
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0040739,Elijah Arroyo,TE,td_recepcion,0.08,,,0.08,2026-08-12 17:39
2026,1,2026-09-09,NE @ SEA,SEA,NE,1,00-0033908,Cooper Kupp,WR,yardas_recepcion,43.95,13.12,80.22,,2026-08-12 17:39
